latent_index,spearman,p_value
475,-0.10819779356388094,0.28393383346360085
476,,
477,0.3303620778748301,0.0007883402437996823
478,,
479,0.21343126401642268,0.03299768924892346
480,-0.2874553326429013,0.0037330438101701555
481,,
482,-0.059292462880855615,0.5578849218575546
483,0.32127501899008293,0.001117207276097735
484,,
485,,
486,,
487,,
488,,
489,,
490,,
491,,
492,,
493,0.2690933311839985,0.006784732551209181
494,,
495,,
496,,
497,,
498,,
499,,
500,0.0709337317796371,0.4831137505298253
501,0.4567607489054698,1.7821797298933283e-06
502,,
503,-0.4195129854619238,1.395498024875365e-05
504,,
505,,
506,-0.49691416366396657,1.4510096657348612e-07
507,,
508,0.4214319360981045,1.2624559015693217e-05
509,,
510,,
511,0.6356252831816124,1.2083647978453563e-12
512,,
513,,
514,,
515,,
516,,
517,0.34685580729704457,0.00040720501884980914
518,,
519,,
520,,
521,0.08403315961780204,0.40583909352181635
522,,
523,,
524,,
525,,
526,,
527,,
528,,
529,-0.31688254020971796,0.0013172671573011179
530,0.07727042247918,0.4447880609831827
531,,
532,0.15379676385348948,0.12657802400156812
533,,
534,0.14643369335582973,0.14600851846933818
535,-0.40901058217002323,2.3890633110637338e-05
536,,
537,0.198099592863646,0.04818689811656257
538,0.3727975909409671,0.000133581782224187
539,,
540,,
541,,
542,,
543,0.42144993806031916,1.2612661999907841e-05
544,,
545,-0.04786721752864945,0.6362664583560441
546,,
547,,
548,,
549,,
550,-0.14808414117738639,0.14146882595458704
551,,
552,0.04617503308047606,0.6482544775963577
553,,
554,0.2307311497046634,0.020912583033447955
555,,
556,,
557,,
558,-0.462068365470552,1.3025498884119824e-06
559,,
560,,
561,0.26718512318924975,0.007203230437399196
562,,
563,,
564,,
565,0.10134504661418585,0.31571861289527925
566,,
567,,
568,,
569,0.3551007059913362,0.00028867248277810787
570,,
571,-0.19010072098628739,0.05816920753714512
572,0.15710912490097778,0.11851194664214361
573,,
574,,
575,,
576,,
577,-0.46574676641640417,1.0449141853027368e-06
578,,
579,,
580,,
581,,
582,,
583,-0.3576509839717393,0.00025903842714554843
584,,
585,,
586,,
587,,
588,0.07972468999443857,0.4304161588802632
589,-0.18454411531604428,0.06605349924145941
590,0.3102758200769559,0.0016798860346908878
591,0.039280281552280215,0.6980055852470466
592,,
593,0.49650011853303044,1.4915110102047515e-07
594,,
595,,
596,,
597,,
598,,
599,,
